id,image_file,image_path,sheet_x1,sheet_y1,sheet_x2,sheet_y2,band_masked_area_ratio,ocr_masked_area_ratio,band_signal_preservation_score,ocr_signal_preservation_score,band_leak_rate,ocr_leak_rate,band_uncovered_identifiers,ocr_uncovered_identifiers,identifier_count
h2_001,00001_hr_1R.png,h2/with-test-data/00001_hr_1R.png,1352,312,2720,1528,0.323283,0.015016,0.951178,0.887013,1.0,0.0,4,0,4
h2_002,00002_hr_1R.png,h2/with-test-data/00002_hr_1R.png,296,160,2720,1900,0.323283,0.015749,0.770783,0.95387,0.0,0.0,0,0,4
h2_003,00003_hr_1R.png,h2/with-test-data/00003_hr_1R.png,408,160,2976,1768,0.323283,0.015091,0.665643,0.955504,0.0,0.0,0,0,4
h2_004,00004_hr_1R.png,h2/with-test-data/00004_hr_1R.png,336,264,3432,1760,0.323283,0.015638,0.846465,0.986746,1.0,0.0,4,0,4
h2_005,00005_hr_1R.png,h2/with-test-data/00005_hr_1R.png,560,312,2928,1760,0.323283,0.016187,0.903562,0.968777,1.0,0.0,4,0,4
h2_006,00006_hr_1R.png,h2/with-test-data/00006_hr_1R.png,496,224,2984,1664,0.323283,0.015723,0.92986,0.980411,0.5,0.0,2,0,4
h2_007,00007_hr_1R.png,h2/with-test-data/00007_hr_1R.png,584,264,3240,1900,0.323283,0.014813,0.819022,0.935209,1.0,0.0,4,0,4
h2_008,00008_hr_1R.png,h2/with-test-data/00008_hr_1R.png,400,272,2976,1640,0.323283,0.014935,0.941413,0.980389,1.0,0.0,4,0,4
h2_009,00009_hr_1R.png,h2/with-test-data/00009_hr_1R.png,72,216,3176,1880,0.323283,0.015332,0.686937,0.970535,0.5,0.0,2,0,4
h2_010,00010_hr_1R.png,h2/with-test-data/00010_hr_1R.png,296,368,2856,1680,0.323283,0.015987,1.0,0.974665,1.0,0.0,4,0,4
h2_011,00011_hr_1R.png,h2/with-test-data/00011_hr_1R.png,0,0,3460,1900,0.323283,0.011836,0.611322,0.970828,0.0,0.0,0,0,4
h2_012,00012_hr_1R.png,h2/with-test-data/00012_hr_1R.png,536,0,3460,1900,0.323283,0.01241,0.588269,0.96192,0.0,0.0,0,0,4
h2_013,00013_hr_1R.png,h2/with-test-data/00013_hr_1R.png,472,272,2744,1656,0.323283,0.011797,0.954133,0.982358,1.0,0.0,4,0,4
h2_014,00014_hr_1R.png,h2/with-test-data/00014_hr_1R.png,0,0,2920,1528,0.323283,0.012325,0.388209,0.954152,0.0,0.0,0,0,4
h2_015,00015_hr_1R.png,h2/with-test-data/00015_hr_1R.png,520,352,3336,1688,0.323283,0.012703,1.0,0.957982,1.0,0.0,4,0,4
h2_016,00016_hr_1R.png,h2/with-test-data/00016_hr_1R.png,496,328,2664,1632,0.323283,0.012395,0.967291,0.970766,1.0,0.0,4,0,4
h2_017,00017_hr_1R.png,h2/with-test-data/00017_hr_1R.png,408,192,3392,1808,0.323283,0.011627,0.838039,0.97923,0.5,0.0,2,0,4
